Unnamed: 0,text,title,LLAMA2_title1,LLAMA2_title1_without_trim,LLAMA2_without_finetunning,LLAMA2_without_finetunning_without_trim
382,"The Wall Street Journal coined the term ""Oprahfication"", meaning public confession as a form of therapy.[177] By confessing intimate details about her weight problems, tumultuous love life, and sexual abuse, and crying alongside her guests, Winfrey has been credited by Time magazine with creating a new form of media communication known as ""rapport talk"" as distinguished from the ""report talk"" of Phil Donahue: ""Winfrey saw television's power to blend public and private; while it links strangers and conveys information over public airwaves, TV is most often viewed in the privacy of our homes. Like a family member, it sits down to meals with us and talks to us in the lonely afternoons. Grasping this paradox, ... She makes people care because she cares. That is Winfrey's genius, and will be her legacy, as the changes she has wrought in the talk show continue to permeate our culture and shape our lives.""[178]
Observers have also noted the ""Oprahfication"" of politics such as ""Oprah-style debates"" and Bill Clinton being described as ""the man who brought Oprah-style psychobabble and misty confessions to politics"".[179] Newsweek stated: ""Every time a politician lets his lip quiver or a cable anchor 'emotes' on TV, they nod to the cult of confession that Oprah helped create.""[180]
The November 1988 Ms. observed that ""in a society where fat is taboo, she made it in a medium that worships thin and celebrates a bland, white-bread prettiness of body and personality [...] But Winfrey made fat sexy, elegant – damned near gorgeous – with her drop-dead wardrobe, easy body language, and cheerful sensuality.""[181]
","""Oprahfication""",,,,
383,"While Phil Donahue has been credited with pioneering the tabloid talk show genre, Winfrey's warmth, intimacy, and personal confession popularized and changed it.[20][21] Her success at popularizing the tabloid talk show genre opened up a thriving industry that has included Ricki Lake, The Jenny Jones Show, and The Jerry Springer Show. In the book Freaks Talk Back,[182] Yale sociology professor Joshua Gamson credits the tabloid talk show genre with providing much needed high-impact media visibility for gay, bisexual, transsexual, and transgender (LGBT) people and doing more to make them mainstream and socially acceptable than any other development of the 20th century. In the book's editorial review, Michael Bronski wrote, ""In the recent past, lesbians, gay men, bisexuals, and transgendered people had almost no presence on television. With the invention and propagation of tabloid talk shows such as Jerry Springer, Jenny Jones, Oprah, and Geraldo, people outside the sexual mainstream now appear in living rooms across America almost every day of the week.""[183] Gamson credits the tabloid talk show with making alternative sexual orientations and identities more acceptable in mainstream society. Examples include a Time magazine article[page needed] on early 21st-century gays coming out of the closet at an increasingly younger age and on plummeting gay suicide rates. Gamson also believes that tabloid talk shows caused gays to be accepted on more traditional forms of media.
In April 1997, Winfrey played the therapist in ""The Puppy Episode"" on the sitcom Ellen to whom the character (and the real-life Ellen DeGeneres) came out as a lesbian.
",Daytime_talk_show's_impact_on_LGBT_people,,,,
384,"The power of Winfrey's opinions and endorsement to influence public opinion, especially consumer purchasing choices, has been dubbed ""the Oprah Effect"".[184] The effect has been documented or alleged in domains as diverse as book sales, beef markets, and election voting. Late in 1996,[185] Winfrey introduced the Oprah's Book Club segment to her television show. The segment focused on new books and classics and often brought obscure novels to popular attention. The book club became such a powerful force that whenever Winfrey introduced a new book as her book-club selection, it instantly became a best-seller; for example, when she selected the classic John Steinbeck novel East of Eden, it soared to the top of the book charts. Being recognized by Winfrey often means a million additional book sales for an author.[186] In Reading with Oprah: The Book Club that Changed America (2005), Kathleen Rooney describes Winfrey as ""a serious American intellectual who pioneered the use of electronic media, specifically television and the Internet, to take reading – a decidedly non-technological and highly individual act – and highlight its social elements and uses in such a way to motivate millions of erstwhile non-readers to pick up books.""
When author Jonathan Franzen's book was selected for the Book Club, he reportedly ""cringed"" and said selected books tend to be ""schmaltzy"".[187] After James Frey's A Million Little Pieces was found to contain fabrications in 2006, Winfrey confronted him on her show over the breach of trust. In 2009, Winfrey apologized to Frey for the public confrontation.[188] During a show about mad cow disease with Howard Lyman (aired on April 16, 1996), Winfrey said she was stopped cold from eating another burger. Texas cattlemen sued her and Lyman in early 1998 for ""false defamation of perishable food"" and ""business disparagement,"" claiming that Winfrey's remarks sent cattle prices tumbling, costing beef producers $11 million. Winfrey was represented by attorney Chip Babcock and, on February 26, after a two-month trial in an Amarillo, Texas, court, a jury found Winfrey and Lyman were not liable for damages.[189][190] During the lawsuit, Winfrey hired Phil McGraw's company Courtroom Sciences, Inc. to help her analyze and read the jury.[191] Winfrey's ability to launch other successful talk shows such as Dr. Phil, The Dr. Oz Show, and Rachael Ray has also been cited as examples of ""The Oprah Effect"".[192]
","""The_Oprah_Effect""",,,,
385,"Matthew Baum and Angela Jamison performed an experiment testing their hypothesis, ""Politically unaware individuals who consume soft news will be more likely to vote consistently than their counterparts who do not consume soft news"".[193] In their studies, they found that low-awareness individuals who watch soft news shows, such as The Oprah Winfrey Show are 14% more likely to vote consistently than low-awareness individuals who only watch hard news.[193]
Winfrey states she is a political independent who has ""earned the right to think for myself and to vote for myself"".[194] She endorsed presidential candidate Barack Obama in the 2008 presidential election.[195][196][197] On September 25, 2006, Winfrey made her first endorsement of Obama for president on Larry King Live, the first time she endorsed a political candidate running for office.[198] Two economists estimate that Winfrey's endorsement was worth over a million votes in the Democratic primary race[199] and that without it, Obama would have lost the nomination.[200] Winfrey held a fundraiser for Obama on September 8, 2007, at her Santa Barbara estate. In December 2007, Winfrey joined Obama for a series of rallies in the early primary states of Iowa, New Hampshire, and South Carolina. The Columbia, South Carolina, event on December 9, 2007, drew a crowd of nearly 30,000, the largest for any political event of 2007.[201] An analysis by two economists at the University of Maryland, College Park estimated that Winfrey's endorsement was responsible for between 420,000 and 1,600,000 votes for Obama in the Democratic primary alone, based on a sample of states that did not include Texas, Michigan, North Dakota, Kansas, or Alaska. The results suggest that in the sampled states, Winfrey's endorsement was responsible for the difference in the popular vote between Barack Obama and Hillary Clinton.[202] The governor of Illinois, Rod Blagojevich, reported being so impressed by Winfrey's endorsement that he considered offering Winfrey Obama's vacant senate seat, describing Winfrey as ""the most instrumental person in electing Barack Obama president,"" with ""a voice larger than all 100 senators combined"".[203] Winfrey responded by stating that although she was absolutely not interested, she did feel she could be a senator.[204] The Topps trading card company memorialized Oprah's involvement in the campaign by featuring her on a card in a set commemorating Obama's road to the White House.[205]
In April 2014, Winfrey spoke for more than 20 minutes at a fundraiser in Arlington, Virginia, for Lavern Chatman, a candidate in a primary to nominate a Democratic Party candidate for election to the U.S. House of Representatives. Winfrey participated in the event even after reports had revealed that Chatman had been found liable in 2001 for her role in a scheme to defraud hundreds of District of Columbia nursing-home employees of at least $1.4 million in owed wages.[206]
Winfrey endorsed Hillary Clinton in the 2016 election, and referred to Republican candidate Donald Trump as a ""demagogue"".[207] In 2018, Winfrey canvassed door-to-door for Georgia gubernatorial Democratic nominee Stacey Abrams[208][209] and donated $500,000 to the March for Our Lives student demonstration in favor of gun control in the United States.[210]
Winfrey has at times been the subject of media speculation that she may run for president herself, most notably in the lead-up to the 2020 election in which some reports claimed that she was actively considering launching a campaign for the Democratic nomination.[211] Winfrey ultimately denied any plans to run for president, saying in 2018 that while it was ""a humbling thing to have people think you can run the country"", she ""would not be able to do it. It's not a clean business. It would kill me.""[212] Winfrey suggested that she would publicly endorse a candidate in the 2020 Democratic primaries, however she ultimately did not do so.[213] She later campaigned for Joe Biden during the general election.[214]
In early 2018, Winfrey met with Mohammad bin Salman, the crown prince and de facto ruler of Saudi Arabia, when he visited the United States.[215]
In the 2022 Pennsylvania Senate election, Winfrey endorsed Democrat John Fetterman over Republican Mehmet Oz, whose show she promoted.[216] In the 2022 Maryland gubernatorial election, she endorsed Baltimore author Wes Moore in the Democratic primary, co-hosting a virtual fundraiser for him in June.[217][218] Winfrey later attended and spoke at Moore's gubernatorial inauguration on January 18, 2023.[219][220]
In 2022, Winfrey set up OWN Your Vote, a nonpartisan group dedicated to voter registration and a get-out-the-vote campaign focused on providing Black women with tools and resources to vote in the November election.[221] Their partners include Advancement Project, African Methodist Episcopal Church (AME), Color Of Change, Delta Sigma Theta Sorority, The King Center, The Lawyers' Committee, NAACP Legal Defense and Educational Fund, National Action Network, National Bar Association, National Council of Negro Women, Sigma Gamma Rho, Southern Poverty Law Center, VoteRunLead, Vote.org.[222][223][224][225][226][227][228]
",Politics,,,,
386,"In 2000, she was awarded the Spingarn Medal from the NAACP.[229] In 2002, Christianity Today published an article called ""The Church of O"" in which they concluded that Winfrey had emerged as an influential spiritual leader. ""Since 1994, when she abandoned traditional talk-show fare for more edifying content, and 1998, when she began 'Change Your Life TV', Oprah's most significant role has become that of a spiritual leader. To her audience of more than 22 million mostly female viewers, she has become a postmodern priestess—an icon of church-free spirituality.""[177] The sentiment was echoed by Marcia Z. Nelson in her book The Gospel According to Oprah.[230] Since the mid-1990s, Winfrey's show has emphasized uplifting and inspirational topics and themes and some viewers say the show has motivated them to perform acts of altruism such as helping Congolese women and building an orphanage.[231] A scientific study by psychological scientists at the University of Cambridge, University of Plymouth, and University of California used an uplifting clip from The Oprah Winfrey Show in an experiment that discovered that watching the 'uplifting' clip caused subjects to become twice as helpful as subjects assigned to watch a British comedy or nature documentary.[232][233]
In 1998, Winfrey began an ongoing conversation with Gary Zukav, an American spiritual teacher, who appeared on her television show 35 times.[234] Winfrey has said she keeps a copy of Zukav's The Seat of the Soul at her bedside, a book that she says is one of her all-time favorites.[235]
On the season premiere of Winfrey's 13th season, Roseanne Barr told Winfrey ""you're the African Mother Goddess of us all"" inspiring much enthusiasm from the studio audience. The animated series Futurama alluded to her spiritual influence by suggesting that ""Oprahism"" is a mainstream religion in 3000 AD.[236] Twelve days after the September 11 attacks, New York mayor Rudy Giuliani asked Winfrey to serve as host of a Prayer for America service at New York City's Yankee Stadium, which was attended by former president Bill Clinton and New York senator Hillary Clinton.[237] Leading up to the U.S.-led 2001 invasion of Afghanistan, less than a month after the September 11 attacks, Winfrey aired a controversial show called ""Islam 101"" in which she portrayed Islam as a religion of peace, calling it ""the most misunderstood of the three major religions"".[238] In 2002, George W. Bush invited Winfrey to join a US delegation that included adviser Karen Hughes and Condoleezza Rice, planning to go to Afghanistan to celebrate the return of Afghan girls to school. The ""Oprah strategy"" was designed to portray the War on Terror in a positive light; however, when Winfrey refused to participate, the trip was postponed.[239]
Leading up to the U.S.-led invasion of Iraq, Winfrey's show received criticism for allegedly having an anti-war bias. Ben Shapiro of Townhall.com wrote: ""Oprah Winfrey is the most powerful woman in America. She decides what makes The New York Times Best Seller lists. Her touchy-feely style sucks in audiences at the rate of 14 million viewers per day. But Oprah is far more than a cultural force, she's a dangerous political force as well, a woman with unpredictable and mercurial attitudes toward the major issues of the day.""[240] In 2006, Winfrey recalled such controversies: ""I once did a show titled Is War the Only Answer? In the history of my career, I've never received more hate mail – like 'Go back to Africa' hate mail. I was accused of being un-American for even raising the question.""[241] Filmmaker Michael Moore came to Winfrey's defense, praising her for showing antiwar footage no other media would show[242] and begging her to run for president.[243]
A February 2003 series, in which Winfrey showed clips from people all over the world asking America not to go to war, was interrupted in several East Coast markets by network broadcasts of a press conference in which President George W. Bush and Colin Powell summarized the case for war.[244][245]
In 2007, Winfrey began to endorse the self-help program The Secret. The Secret claims that people can change their lives through positive thoughts or 'vibrations', which will then cause them to attract more positive vibrations that result in good things happening to them. Peter Birkenhead of Salon magazine argued that this idea is pseudoscience and psychologically damaging, as it trivializes important decisions and promotes a quick-fix material culture, and suggests Winfrey's promotion of it is irresponsible given her influence.[246] In 2007, skeptic and magician James Randi accused Winfrey of being deliberately deceptive and uncritical in how she handles paranormal claims on her show.[247] In 2008, Winfrey endorsed author and spiritual teacher Eckhart Tolle and his book, A New Earth: Awakening to Your Life's Purpose, which sold several million extra copies after being selected for her book club. During a Webinar class, in which she promoted the book, Winfrey stated ""God is a feeling experience and not a believing experience. If your religion is a believing experience [...] then that's not truly God.""[248] Frank Pastore, a Christian radio talk show host on KKLA, was among the many Christian leaders who criticized Winfrey's views, saying ""if she's a Christian, she's an ignorant one because Christianity is incompatible with New Age thought"".[248]
Winfrey was named as the 2008 Person of the Year by animal-rights group People for the Ethical Treatment of Animals (PETA) for using her fame and listening audience to help the less fortunate, including animals. PETA praised Winfrey for using her talk show to uncover horrific cases of cruelty to animals in puppy mills and on factory farms, and Winfrey even used the show to highlight the cruelty-free vegan diet that she tried.[249]
In 2009, Winfrey filmed a series of interviews in Denmark highlighting its citizens as the happiest people in the world. In 2010, Bill O'Reilly of Fox News criticized these shows for promoting a left-wing society.[250] Following the launch of the Super Soul Sunday and SuperSoul Sessions programs on Harpo Productions' SuperSoul TV, in 2016 Winfrey selected 100 people for the SuperSoul 100 list of ""innovators and visionaries who are aligned on a mission to move humanity forward"".[251][252]
On using the N-word, Winfrey said, ""You cannot be my friend and use that word around me. ... I always think of the...people who heard that as their last word as they were hanging from a tree.""[253]
",Spiritual_leadership,,,,
387,"The viewership for The Oprah Winfrey Show was highest during the 1991–92 season, when about 13.1 million U.S. viewers were watching each day. By 2003, ratings declined to 7.4 million daily viewers.[254] Ratings briefly rebounded to approximately 9 million in 2005 and then declined again to around 7.3 million viewers in 2008, though it remained the highest-rated talk show.[255]
In 2008, Winfrey's show was airing in 140 countries internationally and seen by an estimated 46 million people in the US weekly.[256][257] According to the Harris poll, Winfrey was America's favorite television personality in 1998, 2000, 2002–06, and 2009. Winfrey was especially popular among women, Democrats, political moderates, Baby Boomers, Generation X, Southern Americans, and East Coast Americans.[258]
Outside the U.S., Winfrey has become increasingly popular in the Arab world. The Wall Street Journal reported in 2007 that MBC 4, an Arab satellite channel, centered its entire programming around reruns of her show because it was drawing record numbers of female viewers in Saudi Arabia.[259] In 2008, The New York Times reported that The Oprah Winfrey Show, with Arabic subtitles, was broadcast twice each weekday on MBC 4. Winfrey's modest dress, combined with her attitude of triumph over adversity and abuse has caused some women in Saudi Arabia to idealize her.[260]
",Fan_base,,,,
388,"In 2004, Winfrey became the first black person to rank among the 50 most generous Americans[261] and she remained among the top 50 until 2010.[262] By 2012, she had given away about $400 million to educational causes.[263]
As of 2012, Winfrey had also given over 400 scholarships to Morehouse College in Atlanta, Georgia.[147] Winfrey was the recipient of the first Bob Hope Humanitarian Award at the 2002 Emmy Awards for services to television and film. To celebrate two decades on national TV, and to thank her employees for their hard work, Winfrey took her staff and their families (1,065 people in total) on vacation to Hawaii in the summer of 2006.[264]
In 2013, Winfrey donated $12 million to the Smithsonian's National Museum of African American History and Culture.[265] President Barack Obama awarded her the Presidential Medal of Freedom later that same year.[266]
",Philanthropy,,,,
389,"In 1998, Winfrey created Oprah's Angel Network, a charity that supported charitable projects and provided grants to nonprofit organizations around the world. Oprah's Angel Network raised more than $80 million ($1 million of which was donated by Jon Bon Jovi). Winfrey personally covered all administrative costs associated with the charity, so 100% of all funds raised went to charity programs. In May 2010, with Oprah's show ending, the charity stopped accepting donations and was shut down.[267][268]
In the wake of Hurricane Katrina, Oprah created the Oprah Angel Network Katrina registry which raised more than $11 million for relief efforts. Winfrey personally gave $10 million to the cause.[269] Homes were built in Texas, Mississippi, Louisiana, and Alabama before the one-year anniversary of Hurricanes Katrina and Rita.[270]
",Oprah's_Angel_Network,,,,
390,"In 2004, Winfrey and her team filmed an episode of her show, ""Oprah's Christmas Kindness"", in which Winfrey travelled to South Africa to bring attention to the plight of young children affected by poverty and AIDS. During the 21-day trip, Winfrey and her crew visited schools and orphanages in poverty-stricken areas, and distributed Christmas presents to 50,000 children,[271] with dolls for the girls and soccer balls for the boys, and school supplies. Throughout the show, Winfrey appealed to viewers to donate money to Oprah's Angel Network for poor and AIDS-affected children in Africa. From that show alone, viewers around the world donated over $7 million. Winfrey invested $40 million and some of her time establishing the Oprah Winfrey Leadership Academy for Girls in Henley on Klip south of Johannesburg, South Africa. The school, set over 22 acres, opened in January 2007 with an enrollment of 150 pupils (increasing to 450) and features state-of-the-art classrooms, computer and science laboratories, a library, a theatre, and a beauty salon. Nelson Mandela praised Winfrey for overcoming her own disadvantaged youth to become a benefactor for others. Critics considered the school elitist and unnecessarily luxurious.[272] Winfrey rejected the claims, saying: ""If you are surrounded by beautiful things and wonderful teachers who inspire you, that beauty brings out the beauty in you.""[272] Winfrey, who has no surviving biological children, described maternal feelings towards the girls at Oprah Winfrey Leadership Academy for Girls.[273][274] Winfrey teaches a class at the school via satellite.[273]
",South_Africa,,,,
391,"By Oprah Winfrey
About Oprah Winfrey
",Bibliography,,,,
392,"Tendulkar was born at Nirmal Nursing Home in Dadar, Bombay on 24 April 1973[30][31] to a Rajapur Saraswat Brahmin[better source needed] Maharastrian Marathi  family.[32][33] His father, Ramesh Tendulkar, was a  Marathi-language novelist and poet while his mother, Rajni, worked in the insurance industry.[34] Tendulkar's father named him after his favourite music director, Sachin Dev Burman.[35] Tendulkar has three older siblings: two half-brothers Nitin and Ajit, and a half-sister Savita. They were his father's children by his first wife, who died after the birth of her third child.[36][37] His brother Ajit played in Bombay's Kanga Cricket League.[38]
Tendulkar spent his formative years in the Sahitya Sahawas Cooperative Housing Society in Bandra (East). As a young boy, Tendulkar was considered a bully, and he often picked fights with new children in his school.[39]
As a child, Tendulkar was interested in both tennis and cricket. He particularly idolised American player John McEnroe, and emulated his hero by growing his hair long at the age of 7 or 8 years. At this time, Tendulkar also regularly wore tennis wristbands and headbands and carried a tennis racquet with him as a sign of his love for tennis.[40][41][42]
To help curb his bullying tendencies, his elder brother Ajit introduced Tendulkar to cricket in 1984. Ajit introduced him to cricket coach Ramakant Achrekar at Shivaji Park in Dadar. At their first meeting, Tendulkar did not play well. Ajit told Achrekar that he was feeling self-conscious due to the coach observing him, and was not displaying his natural game. Ajit requested the coach to give him another chance at playing, but watch while hiding behind a tree. This time, Tendulkar, apparently unobserved, played much better and was accepted at Achrekar's academy.[43][better source needed]
Achrekar was impressed with Tendulkar's talent and advised him to shift his schooling[citation needed] to Sharadashram Vidyamandir School,[30] a school in Dadar that had produced many notable cricketers. He made his debut as a cricketer for Sharadashram in late 1984.[44] Prior to this, Tendulkar had attended the Indian Education Society's New English School in Bandra (East).[44] He was also coached under the guidance of Achrekar at Shivaji Park in the mornings and evenings.[45] Tendulkar would practice for hours; if he became exhausted, Achrekar would put a one-rupee coin on the top of the stumps, and the bowler who dismissed Tendulkar would get the coin. If Tendulkar completed the session without getting dismissed, the coach would give him the coin. Tendulkar considers the 13 coins he won among his most prized possessions.[46] While he was training at Shivaji Park, he moved in with his aunt and uncle, who lived near the park.[44]
Besides school cricket, Tendulkar also played club cricket. In 1984, at age 11, he debuted in the Kanga Cricket League while playing for the John Bright Cricket Club.[44][47] Beginning in 1988, he played for the Cricket Club of India.[47][48]
In 1987, at the age of 14, he attended the MRF Pace Foundation in Madras (now Chennai) to train as a fast bowler, but the trainer, Australian fast bowler Dennis Lillee, was unimpressed and suggested that Tendulkar focus on his batting instead.[49] On 20 January 1987, he was a substitute for Imran Khan's side in an exhibition match at Brabourne Stadium in Bombay.[50] A couple of months later, former Indian batsman Sunil Gavaskar gave Tendulkar a pair of his own lightweight pads and told him to not get disheartened for not receiving the Bombay Cricket Association's Best Junior Cricketer Award. Of this experience, Tendulkar later said, ""It was the greatest source of encouragement for me"".[51][52] Tendulkar served as a ball boy in the 1987 Cricket World Cup when India played against England in the semifinal in Bombay.[53][54]
In 1988, while playing for Sharadashram, Tendulkar and Vinod Kambli batted in an unbroken 664-run partnership in a Lord Harris Shield inter-school game against St. Xavier's High School. Tendulkar scored 326 (not out) in that match and scored over 1,000 runs in the tournament.[55] This was a record partnership in any form of cricket until 2006, when it was broken by two junior cricketers in Hyderabad, India.[56]
",Early_life_and_background,,,,
393,"On 14 November 1987, at age 14, Tendulkar was selected to represent Bombay in the Ranji Trophy for the 1987–88 season, but he was not selected for the final eleven in any of the matches, though he was often used as a substitute fielder.[44] A year later, on 11 December 1988, aged 15 years and 232 days, Tendulkar made his debut for Bombay against Gujarat at Wankhede Stadium and scored 100 not out in that match, making him the youngest Indian to score a century on debut in first-class cricket.[57] He was selected to play for the team by Bombay captain Dilip Vengsarkar after Vengsarkar watched him play Kapil Dev in Wankhede Stadium's cricket practice nets,[30] where the Indian team had come to play against the touring New Zealand team. He followed this by scoring a century in his first Deodhar and Duleep Trophies, which are also Indian domestic tournaments.[58]
Tendulkar finished the 1988–89 Ranji Trophy season as Bombay's highest run-scorer. He scored 583 runs at an average of 67.77, and was the eighth-highest run-scorer overall.[59] In both 1988 and 1999, Tendulkar was picked for a young Indian team to tour England under the Star Cricket Club banner.[60] In the 1990–91 Ranji Trophy final, which Bombay narrowly lost to Haryana, Tendulkar's 96 from 75 balls was key to giving Bombay a chance of victory as it attempted to chase 355 from only 70 overs on the final day.[61]
At the start of the 1989–90 season, while playing for Rest of India, Tendulkar scored an unbeaten century in an Irani Trophy match against Delhi.[62]
In the final of 1995 Ranji trophy, Tendulkar, captaining Bombay, scored 140 and 139 versus Punjab.[63]
In the 1995–96 Irani Cup, he captained Mumbai against Rest of India.[63] His first double century (204*) was for Mumbai while playing against the visiting Australian team at the Brabourne Stadium in 1998.[30][64] He is the only player to score a century on debut in all three of his domestic first-class tournaments (the Ranji, Irani, and Duleep Trophies).[65] Another double century was an innings of 233* against Tamil Nadu in the semi-finals of the 2000 Ranji Trophy, which he regards as one of the best innings of his career.[66][67][68]
In total, Tendulkar was part of 5 Ranji trophy finals, in which Mumbai won 4.[63]
",Early_career,,,,
394,"In 1992, at the age of 19, Tendulkar became the first overseas-born player to represent Yorkshire, which prior to Tendulkar joining the team, never selected players, even UK-based, from outside Yorkshire.[30][Note 1] Selected for Yorkshire as a replacement for the injured Australian fast bowler Craig McDermott, Tendulkar played 16 first-class matches for the team and scored 1,070 runs at an average of 46.52.[69]
",Yorkshire,,,,
395,"Raj Singh Dungarpur is credited for the selection of Tendulkar for the Indian tour of Pakistan in late 1989,[70] after one first class season.[71] The Indian selection committee had shown interest in selecting Tendulkar for the tour of the West Indies held earlier that year, but eventually did not select him, as they did not want him to be exposed to the dominant fast bowlers of the West Indies so early in his career.[citation needed]
Tendulkar was the youngest player to debut for India in Tests at the age of 16 years and 205 days, and also the youngest player to debut for India in ODI at the age of 16 years and 238 days.[72][73] Tendulkar made his Test debut against Pakistan in Karachi in November 1989 aged 16 years and 205 days. He scored 15 runs, being bowled by Waqar Younis, who also made his debut in that match. He was noted for how he handled numerous blows to his body at the hands of the Pakistani pace attack.[74] In the fourth and final Test match in Sialkot, he was hit on the nose by a bouncer bowled by Younis, but he declined medical assistance and continued to bat even as he his nose gushed blood.[75] In a 20-over exhibition game in Peshawar, held in parallel with the bilateral series, Tendulkar made 53 runs off 18 balls, including an over in which he scored 27 runs bowled by leg-spinner Abdul Qadir.[76] This was later called ""one of the best innings I have seen"" by the then Indian captain Krishnamachari Srikkanth.[77] In all, Tendulkar scored 215 runs at an average of 35.83 in the Test series, and was dismissed without scoring a run in the only One Day International (ODI) he played.[78][79]
The series was followed by a tour of New Zealand in which he scored 117 runs at an average of 29.25 in Tests.[80] He was dismissed without scoring in one of the two ODI games he played, and scored 36 in the other.[81] On a 1990 tour to England, on 14 August, he became the second-youngest cricketer to score a Test century as he made 119 not out in the second Test at Old Trafford in Manchester.[75] Wisden described his innings as ""a disciplined display of immense maturity"" and also wrote, ""He looked the embodiment of India's famous opener, Gavaskar, and indeed was wearing a pair of his pads. While he displayed a full repertoire of strokes in compiling his maiden Test hundred, most remarkable were his off-side shots from the back foot. Though only 5ft 5in tall, he was still able to control without difficulty short deliveries from the English pacemen"".[82]
Tendulkar's reputation grew during the 1991–92 tour of Australia held before the 1992 Cricket World Cup. During the tour, he scored an unbeaten 148 in the third Test at Sydney, making him the youngest batsman to score a century in Australia. He then scored 114 on a fast, bouncing pitch in the final Test at Perth against a pace attack from Merv Hughes, Bruce Reid, and Craig McDermott. Hughes commented to Allan Border at the time that ""This little prick's going to get more runs than you, AB.""[83]
",Early_tours,,,,
396,"Tendulkar opened the batting at Auckland against New Zealand in 1994, making 82 runs off 49 balls.[84] He scored his first ODI century on 9 September 1994 against Australia in Sri Lanka at Colombo.[85][86] He competed in 78 ODIs before scoring his first century.[citation needed]
Tendulkar's rise continued when he was the leading run scorer at the 1996 World Cup, scoring two centuries.[87] He was the only Indian batsman to perform well in the semi-final against Sri Lanka.[citation needed] Tendulkar fell amid a batting collapse[citation needed] and the match referee, Clive Lloyd, awarded Sri Lanka the match after the crowd began rioting and throwing litter onto the field.[88]
After the World Cup, in the same year against Pakistan at Sharjah, Indian captain Mohammed Azharuddin was going through a lean patch. Tendulkar and Navjot Singh Sidhu both made centuries to set a then record partnership for the second wicket. After getting out, Tendulkar found Azharuddin in two minds about whether he should bat.[citation needed] Tendulkar convinced Azharuddin to bat and Azharuddin subsequently unleashed 24 runs off one over.[89] India went on to win that match. It enabled India to post a score in excess of 300 runs for the first time in an ODI.[90]
",1994–1996:_ODI_matches,,,,
397,"Tendulkar scored 143 (131) runs in Sharjah against the Australian team in the 1998 Coca-Cola cup, including 5 sixes in an innings against Shane Warne, Damien Fleming and Michael Kasprowicz. The inning is known as the ""Desert Storm"" because it was interrupted by a sand storm. In 2020, a poll from the ICC declared it Tendulkar's best ODI innings.[91]
In early 1998, while playing in an Australian tour of India, Tendulkar scored three consecutive centuries. The focus of the tour was the clash between Tendulkar and spinner Shane Warne, both at the peak of their careers.[92] In the lead-up to the series, Tendulkar simulated scenarios in the nets with Laxman Sivaramakrishnan.[93] In their tour opener, Australia faced Mumbai at the Brabourne Stadium in a three-day first class match.[94] Tendulkar scored an unbeaten 204 runs as Shane Warne conceded 111 runs in 16 overs and Australia lost the match within three days.[95][96] He also had a role with the ball in the five-match ODI series in India following the Tests, including a five wicket haul in an ODI in Kochi. Set 310 runs to win, Australia were cruising at 203 for 3 in the 31st over when Tendulkar turned the match for India, taking the wickets of Michael Bevan, Steve Waugh, Darren Lehmann, Tom Moody and Damien Martyn for 32 runs in 10 overs.[97] The Test match success was followed by two consecutive centuries in April 1998 in a Triangular cricket tournament in Sharjah—the first in a must-win game to take India to the finals and then again in the finals, both against Australia. These twin knocks were also known as the Desert Storm innings.[98] Following the series, Warne ruefully joked that he was having nightmares about his Indian nemesis.[99]
Tendulkar's contribution in the ICC 1998 quarterfinal at Dhaka paved the way for India's entry into the semifinals, when he took four Australian wickets after scoring 141 runs in 128 balls.[100]
",1998:_Australian_competition,,,,
398,"The inaugural Asian Test Championship took place in February and March 1999, involving India, Pakistan, and Sri Lanka.[101] Around 100,000 attended the first four days of the tournament, breaking a 63-year-old record for aggregate Test attendance record.[102] In the first match, between India and Pakistan at Eden Gardens, Tendulkar was dismissed from the match after colliding with Pakistan bowler Shoaib Akhtar. The crowd reacted by throwing objects at Akhtar, and the players were taken off the field. The match resumed after Tendulkar and the president of the ICC appealed to the crowd; however, further rioting meant that the match was finished in front of a crowd of 200 people.[103] Tendulkar scored his 19th Test century in the second Test and the match resulted in a draw with Sri Lanka.[104] India did not progress to the final, which was won by Pakistan, and refused to participate in the 2001–02 Asian Test Championship due to increasing political tensions between India and Pakistan.[105]
In a Test match against Pakistan at Chepauk in 1999, the first of a two-Test series, Tendulkar scored 136 runs; India lost the match by 12 runs.[106]
Tendulkar's father, Ramesh Tendulkar, died during the 1999 Cricket World Cup. Tendulkar flew back to India to attend the final rituals of his father, missing the match against Zimbabwe.[107] Tendulkar returned to the World Cup, scoring a century (140 not out of 101 balls) in his very next match against Kenya in Bristol. He dedicated the century to his father.[108]
","1999:_Asian_Test_Championship,_Test_matches,_and_the_World_Cup",,,,
